,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
317,6962181067_2016-04-23,6962181067,2016-04-23,20031,Highly active,13.2399997711182,4.19999980926514,2.0,7.03999996185303,58,41,347,446,484,2571,528,546,96.7032967032967,00:00:30,07:51:30,8.8
318,6962181067_2016-04-24,6962181067,2016-04-24,5029,Low active,3.3199999332428,0.0,0.0,3.3199999332428,0,0,199,199,720,1705,511,514,99.41634241245137,00:00:00,23:59:00,8.52
319,6962181067_2016-04-25,6962181067,2016-04-25,13239,Highly active,9.27000045776367,3.01999998092651,1.67999994754791,4.46000003814697,35,31,282,348,637,2194,400,415,96.3855421686747,00:00:00,23:59:30,6.67
320,6962181067_2016-04-26,6962181067,2016-04-26,10433,Active,6.90000009536743,2.57999992370605,0.419999986886978,3.90000009536743,36,7,254,297,680,2012,441,446,98.87892376681614,00:00:30,23:59:00,7.35
321,6962181067_2016-04-27,6962181067,2016-04-27,10320,Active,6.82000017166138,0.550000011920929,2.01999998092651,4.25,7,38,279,324,697,2034,455,467,97.4304068522484,00:00:00,23:59:30,7.58
322,6962181067_2016-04-28,6962181067,2016-04-28,12627,Highly active,8.35000038146973,2.50999999046326,0.239999994635582,5.59000015258789,38,8,288,334,621,2182,440,453,97.13024282560706,00:00:30,23:59:00,7.33
323,6962181067_2016-04-29,6962181067,2016-04-29,10762,Active,7.1100001335144,0.819999992847443,0.479999989271164,5.80999994277954,12,15,369,396,645,2254,433,447,96.86800894854586,00:00:00,06:38:00,7.22
324,6962181067_2016-04-30,6962181067,2016-04-30,10081,Active,6.65999984741211,2.24000000953674,0.759999990463257,3.67000007629395,32,16,237,285,731,2002,422,424,99.52830188679245,01:29:00,08:32:00,7.03
325,6962181067_2016-05-01,6962181067,2016-05-01,5454,Low active,3.60999989509583,0.0,0.0,3.60999989509583,0,0,215,215,722,1740,411,426,96.47887323943662,00:24:00,23:59:00,6.85
326,6962181067_2016-05-02,6962181067,2016-05-02,12912,Highly active,8.53999996185303,1.20000004768372,2.0,5.34000015258789,18,39,313,370,655,2162,466,482,96.6804979253112,00:00:00,23:59:30,7.77
